fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-04-29T23:20:11.000Z,184,37,NA,Justiciá corrupta ..quiere borrar la imagen. de un padre  el feminismo destruyó la mente de una mujer y lo q significa un padre en la vida de un hijo ..únete se un guerrero q lucha por su hijo ..@melipillacomunica @infomelipilla @melipilla_viral @municipiomelipilla @melipillatv2 #arturito #melipilla #padresconderecho #padresconderechochile #andreshernandez #cumpleañostriste #cumpleaños #hijosrehenes #falsasdenuncias #niñotriste #nomasdenunciasfalsas #crianzacompartida #padresenlucha #sinfiltrotv #kaiser #javierrebolledo #chile #tribunalesdefamilia,https://www.instagram.com/padres_con_derechochile/reel/DJDGcxVxCko/
2025-12-31T23:34:22.000Z,19,3,NA,Abrazo de Papá e Hijo ..deseos del 2026 ..por una infancia Feliz junto a la agrupación Padres Con Derecho Chile..#padresconderechochile #nomashijosrehenes #padresehijos  #aňonuevo #tribunalesdefamilia,https://www.instagram.com/padres_con_derechochile/reel/DS8kl1ykeIC/
2025-12-31T21:59:57.000Z,49,2,NA,Madres obstructoras  del régimen comunicacional...dinos q piensas te atreves a nombrar a esa madre que le ha hecho daño a tu hijo ..nombrarla y te Leo.. #padresconderechochile #tribunalesdefamilia #aňonuevo #nomashijosrehenes #nomasdenunciasfalsas,https://www.instagram.com/padres_con_derechochile/reel/DS8ZugfEaMj/
2025-12-31T17:48:23.000Z,39,3,NA,Feliz Año Nuevo  les desea Agrupación Padres Con Derecho Chile...#padresconderechochile #nomashijosrehenes #nomasdenunciasfalsas #tribunalesdefamilia  #aňonuevo,https://www.instagram.com/padres_con_derechochile/reel/DS78_74kXyo/
2025-12-31T09:46:10.000Z,9,1,NA,Negocio de la Desvinculación Parental...amparada por Tribunales de Familia..comenta comparte y da link #padresconderechochile  #tribunalesdefamilia #falsasdenuncias #alienacionparental #nomashijosrehenes,https://www.instagram.com/padres_con_derechochile/reel/DS7FzikgsHu/
2025-12-30T23:29:30.000Z,147,24,NA,Psicólogo Fabián Campos Paredes. . corrupción en el Servicio Médico Legal ..omite antecedentes en informes..no tiene expertis en temas de tribunales de Familia .aplica la perspectiva de Género .. sus informes son tendenciosos y alejados de objetividad ....comenta comparte y da link ..#padresconderechochile #tribunalesdefamilia #falsasdenuncias #sml #nomashijosrehenes,https://www.instagram.com/padres_con_derechochile/reel/DS5_EjDEfrq/
2025-12-30T01:07:15.000Z,45,4,NA,Alienación Parental..borrando a papá. .comenta .. comparte y da link #padresconderechochile #alienacionparental #falsasdenuncias #padreehijo #tribunalesdefamilia,https://www.instagram.com/padres_con_derechochile/reel/DS3lpV6kQqi/
2025-12-29T21:50:39.000Z,56,6,NA,Desde el dolor de la desvinculación parental .. u este a este gran movimiento en chile ..Padres Con Derecho Chile y demos esta batalla juntos en recuperar a tu hijo ...#padresconderechochile #andreshernandez #nomashijosrehenes #felizañonuevo #nomasdenunciasfalsas,https://www.instagram.com/padres_con_derechochile/reel/DS3O_hiEaJH/
2025-12-25T03:02:03.000Z,94,7,NA,Una velita en tu Ausencia ..Santiago de Chile por nuestros hijos secuestrados ..por tribunales de familia y de garantía ...No a las falsas Denuncias. ..lugar palacio la Moneda ..Chile ...#padresconderechochile #falsasdenuncias #unavelitaentuausencia #nomashijosrehenes  #navidad,https://www.instagram.com/padres_con_derechochile/reel/DSq6iymEaeD/
2025-12-24T23:14:36.000Z,163,33,NA,Estos tipos de vejaciones y humillaciones  están expuestos padres e hijos en los tribunales de familia ..Está es la historia de un padre de Coyhaique.  Y como tribunales y juezas amparan a progenitoras obstructoras del régimen de visitas.  navidad triste.  comenta ..comparte y da link. .#padresconderechochile #nomashijosrehenes #falsasdenuncias #aysen #tribunalesdefamilia,https://www.instagram.com/padres_con_derechochile/reel/DSqggRZkZr-/
2025-12-24T19:11:00.000Z,163,25,NA,Utilizan la amenaza.  pensaran que nos vamos a intimidar ..urgente salud mental.  para mujeres como está.  Nomás denuncias falsas..No más. desvinculacion Parental .. comenta comparte y da link #padresconderechochile #falsasdenuncias #nomashijosrehenes #mujeres #saludmental,https://www.instagram.com/padres_con_derechochile/reel/DSqE5RVEdQ7/
2025-12-24T15:18:31.000Z,19,2,NA,Feliz  navidad les desea Padres Con Derecho Chile ..y a seguir en esta lucha de recuperar a nuestros hijos . #padresconderechochile #tribunalesdefamilia #viejitopascuero #padreehijo #falsasdenuncias,https://www.instagram.com/padres_con_derechochile/reel/DSpqNM6kZtI/
2025-12-24T03:10:42.000Z,56,3,NA,Una velita en tu ausencia.  Palacio La Moneda ..Santiago  De Chile .  No mas hijos secuestrados en tribunales de familia ..No al dolor de la desvinculación parental en esta navidad.  #padresconderechochile #unavelitaentuausencia #tribunalesdefamilia #falsasdenuncias  #navidad,https://www.instagram.com/padres_con_derechochile/reel/DSoWCnMArHW/
