fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-30T20:23:01.000Z,42,2,NA,"📺 Minuto de cierre de Vanessa Ferrer Radovich (PDG), quien  se refiere a la ausencia de propuestas para la infancia en las últimas elecciones en nuestro país, ayer en el Programa #ContingenciaPolítica por FTV .

#GranValparaíso",https://www.instagram.com/ftv_cl/reel/DS5pZGjCZSD/
2025-12-30T02:10:37.000Z,32,3,NA,"📺 La mirada desde el centro político sobre las movilizaciones. Intervención de @vanessaferrerradovic 

#GranValparaíso",https://www.instagram.com/ftv_cl/reel/DS3s5_QjCLn/
2025-12-29T20:14:55.000Z,5218,233,NA,Así funciona esta mierda de sistema. La realidad supera con creces la ficción !!,https://www.instagram.com/vanessaferrerradovic/reel/DS3D8kAiWvd/
2025-12-29T20:13:35.000Z,13,0,NA,"HOY 📺 #ContingenciaPolítica ESPECIAL LUNES por FTV

📍29 / DIC / 2025
⏰️ 19:30 hrs. 
📡 En vivo y en directo. 

Panel Político:
• María Fernanda Villegas (PS)
• Francisco Ventura (EVOPOLI)
• Javier Puiggros Vogel (EVOPOLI)
• Marcelo Trivelli Oyarzún (IND)
• Vanessa Ferrer Radovich (PDG)

Conduce:
Rodrigo Piaggio Marchant

Transmisiones: 

📱@FTV_cl: 
Facebook • Twitter/X • Youtube • Instagram • Twitch • TikTok • Threads 

📡 PlazaTV • Cable Mundo.

💜 Un programa realizado gracias a:
@LaQuintaValpo, @CasaCulturaValpo, @TicketNetcl . 

#GranValparaiso #Política #Valparaíso #ViñadelMar Concón Quilpué VillaAlemana Limache Olmué ComPolValpo",https://www.instagram.com/ftv_cl/p/DS3EEWVCXlf/
2025-12-17T22:14:26.000Z,48,0,NA,"Si estás viviendo un proceso familiar, o estás por iniciarlo, esta conferencia te dará claridad, herramientas concretas y un camino más seguro para avanzar.

📅 22 de diciembre
🕘 22:00 hrs (Chile)
💻 Vía Zoom (inscripción obligatoria)
📝 Formulario de inscripción: 
En la biografía ⬆️
💲7.000.

Al finalizar, quienes necesiten apoyo más personalizado podrán acceder a una mentoría individual, enfocada en tu caso, tus emociones y tu estrategia legal.

#derechodefamilia #falsasdenuncias #mentoría #conferencias #tribunaldefamilia",https://www.instagram.com/vanessaferrerradovic/reel/DSYX5m_kenI/
2025-12-16T15:40:31.000Z,31,3,NA,"👀No tienes que navegar este proceso a ciegas.
♟️Ven y prepararte con información, estrategia… y un poco de contención.🥰

Lunes 22-12-2025
Hora: 20:00 hrs.
Valor: $7.000
Modalidad: Zoom (acceso personal, no transferible)

Link de inscripción:
https://forms.gle/FGDV5VGqD5e8jgc38

#derechodefamilia #falsasdenuncias #mentoría #conferencias #tribunaldefamilia",https://www.instagram.com/vanessaferrerradovic/p/DSVGe_TEdWo/
2025-12-15T19:18:29.000Z,22,2,NA,"Voy a explicarte, con palabras simples, cómo funciona realmente el sistema, cuáles son tus derechos, qué errores evitar y cómo prepararte emocional, psicológica y jurídicamente para lo que viene.
Inscríbete ahora.
Es el primer paso para entender, para fortalecerte y para tomar el control de tu historia.
Te espero.”

Lunes 22-12-2025
Hora: 20:00 hrs.
Valor: $7.000
Modalidad: Zoom (acceso personal, no transferible) 

#derechodefamilia #falsasdenuncias #crianzacompartida #webinar #conferencia",https://www.instagram.com/vanessaferrerradovic/p/DSS6V59ETHV/
2025-12-14T19:01:24.000Z,12,0,NA,"HOY 📺 #ContingenciaPolítica ESPECIAL 2da VUELTA PRESIDENCIAL por FTV .

📍 DOMINGO 14 / DIC / 2025
⏰️ 21:00 hrs. 
📡 En vivo y en directo

Panel Invitado:

• Francisco Ventura (EVOPOLI)
• Javier Puiggros Vogel (EVOPOLI)
• Laura Giannici Natoli (PDC)
• María José Escobar (IND)
• Óscar Balcarce Alfaro (PS)
• Vanessa Ferrer Radovich (PDG)

Conducen:
Boris Carvajal Tapia 
Rodrigo Piaggio Marchant

Transmisiones: 

📱@FTV_cl: 
Facebook • Twitter/X • Youtube • Instagram • Twitch • TikTok • Threads 

📡 PlazaTV • Cable Mundo.

💜 Un programa realizado gracias a:
@LaQuintaValpo, @CasaCulturaValpo, @TicketNetcl . 

#GranValparaiso #Política #Valparaíso #ViñadelMar #Concón #Quilpué #VillaAlemana #Limache #Olmué #ComPolValpo",https://www.instagram.com/ftv_cl/p/DSQT4gmiUon/
2025-12-13T17:32:07.000Z,73,2,NA,"Voy a explicarte, con palabras simples, cómo funciona realmente el sistema, cuáles son tus derechos, qué errores evitar y cómo prepararte emocional, psicológica y jurídicamente para lo que viene.
Inscríbete ahora.
Es el primer paso para entender, para fortalecerte y para tomar el control de tu historia.
Te espero.”

Lunes 22 de diciembre 
Hora: 20:00 hrs.
Valor: $7.000
Modalidad: Zoom (acceso personal, no transferible)

Link en mi biografía",https://www.instagram.com/vanessaferrerradovic/reel/DSNkm4BEWG1/
2025-12-08T20:44:58.000Z,40,2,NA,"Voy a explicarte, con palabras simples, cómo funciona realmente el sistema, cuáles son tus derechos, qué errores evitar y cómo prepararte emocional, psicológica y jurídicamente para lo que viene.
Inscríbete ahora.

Es el primer paso para entender, para fortalecerte y para tomar el control de tu historia.
Te espero.”
Miércoles 10-12-2025
Hora: 20:00 hrs.
Valor: $7.000
Modalidad: Zoom (acceso personal, no transferible)",https://www.instagram.com/vanessaferrerradovic/reel/DSBCpnWEdaD/
